Parámetros del algoritmo
------------------------
Algoritmo: BusquedaTabu
Dataset: ford04.dat
Semilla: 77645037

Solución inicial y su coste
---------------------------
[27, 20, 10, 23, 12, 25, 3, 28, 18, 5, 19, 0, 1, 21, 29, 17, 22, 16, 8, 11, 14, 15, 6, 4, 9, 13, 26, 24, 7, 2]
Coste: 176926

Evolución de la búsqueda
------------------------
Intercambio (8, 20) -> Nueva solución con coste 177712
Intercambio (3, 27) -> Peor solución (coste 177822) — no aceptada
Intercambio (3, 19) -> Nueva solución con coste 177496
Intercambio (3, 16) -> Peor solución (coste 177534) — no aceptada
Intercambio (13, 24) -> Nueva solución con coste 176966
Intercambio (16, 23) -> Peor solución (coste 176986) — no aceptada
Intercambio (16, 22) -> Nueva solución con coste 176722
Intercambio (13, 16) -> Nueva solución con coste 176344
Intercambio (7, 9) -> Nueva solución con coste 175678
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (9, 23) -> Nueva solución con coste 175542
Intercambio (19, 23) -> Peor solución (coste 175678) — no aceptada
Intercambio (19, 23) -> Nueva solución con coste 175542
Intercambio (9, 23) -> Peor solución (coste 175678) — no aceptada
